date,apy_roi,apy_cpi,cpi_one_dollar,roi_one_dollar,num_il_2,num_il_1,num_al_2,num_al_1,num_il,num_non_taylor_2,num_non_taylor_1,num_non_taylor,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_inv_lc_norm,cum_mo_earn_inv_lc_norm,mo_earn_inv_cc_norm,cum_mo_earn_inv_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_ss_norm,cum_mo_earn_ss_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,mo_earn_pen_norm,cum_mo_earn_pen_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,mo_exp_lc_norm,cum_mo_exp_lc_norm,mo_exp_cc_norm,cum_mo_exp_cc_norm,mo_exp_al_cc_norm,cum_mo_exp_al_cc_norm,mo_exp_non_taylor_norm,cum_mo_exp_non_taylor_norm,mo_exp_total_lc_norm,cum_mo_exp_total_lc_norm,mo_exp_total_cc_norm,cum_mo_exp_total_cc_norm,final_worth_cc_norm,final_worth_lc_norm
2028-03-31,4.00000000000007,4.00000000000007,1.0710465429791596,1.0710465429791596,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,350251.6858182386,379682.36195945827,29478.273978493424,637438.1946720603,31125.0025303929,667761.3337087678,0.0,0.0,0.0,0.0,3445.0,72345.0,2667.0,56007.0,6112.0,128352.0,5326.565906399651,115596.8765929718,1449.050006438608,31447.213404433343,6775.615912838259,147044.08999740513,1290555.2443313627,754030.5634542236,5069145.138532845,5577875.974498759,1157724.7593710888,9600.0,201600.0,3880.6009398589663,80178.80395455724,0.0,0.0,9612.000000000013,201852.0,19212.000000000095,1300515.248356706,13492.60093985891,761461.273354086,6420623.524790365,7578348.284161454
2028-04-30,4.00000000000007,4.00000000000007,1.074552870655497,1.074552870655497,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,365649.705931337,396644.365996997,29406.418151188722,666844.6128232491,31066.436060652304,698827.76976942,0.0,0.0,0.0,0.0,3445.0,75790.0,2667.0,58674.0,6112.0,134464.0,5309.18501620106,120906.06160917287,1444.3216731190262,32891.53507755237,6753.506689320086,153797.5966867252,1308492.8401584881,766638.5813104158,5053949.4885740355,5566733.374378855,1157724.7593710888,9600.000000000007,211200.0,3886.932251629578,84065.73620618682,0.0,0.0,9611.999999999989,211464.0,19211.999999999916,1319727.248356706,13498.932251629609,774960.2056057156,6420623.524790365,7578348.284161454
2028-05-31,4.00000000000007,4.00000000000007,1.0780706771362378,1.0780706771362378,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,380947.8971434821,413514.6630984874,29334.796793571702,696179.4096168207,31008.040037229464,729835.8098066495,0.0,0.0,0.0,0.0,3445.0,79235.0,2667.0,61341.0,6112.0,140576.0,5291.860840844527,126197.9224500174,1439.6087686223848,34331.14384617475,6731.469609466912,160529.06629619212,1326371.9045811445,779211.8001223644,5038803.422892988,5555620.791561033,1157724.7593710888,9600.000000000005,220800.0,3893.2738931169883,87959.0100993038,0.0,0.0,9611.999999999995,221076.0,19212.000000000025,1338939.248356706,13505.273893116997,788465.4794988326,6420623.524790365,7578348.284161454
2028-06-30,4.00000000000007,4.00000000000007,1.0816000000000008,1.0816000000000008,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,396146.74699844944,430293.6504571032,29263.409140554366,725442.8187573751,30949.81387024183,760785.6236768913,0.0,0.0,0.0,0.0,3445.0,82680.0,2667.0,64008.0,6112.0,146688.0,5274.593195266269,131472.51564528368,1434.9112426035492,35766.0550887783,6709.504437869818,167238.57073406194,1344192.6285906634,791750.3437879178,5023706.77969336,5544538.117750544,1157724.7593710888,9600.000000000007,230400.0,3899.625881174426,91858.63598047823,0.0,0.0,9612.00000000001,230688.0,19211.99999999991,1358151.248356706,13511.625881174408,801977.1053800071,6420623.524790365,7578348.284161454
2028-07-31,4.00000000000007,4.00000000000007,1.0851408769484272,1.0851408769484272,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,411246.7409211807,446981.723616582,29192.254429545115,754635.0731869203,30891.756971676667,791677.380648568,0.0,0.0,0.0,0.0,3445.0,86125.0,2667.0,66675.0,6112.0,152800.0,5257.381895006373,136729.89754029005,1430.2290448816636,37196.28413365997,6687.610939888037,173926.18167395,1361955.2025551605,804254.3358175189,5008659.397706762,5533485.244989131,1157724.7593710888,9599.999999999989,240000.0,3905.988232682638,95764.62421316086,0.0,0.0,9612.000000000004,240300.0,19212.000000000073,1377363.248356706,13517.988232682656,815495.0936126898,6420623.524790365,7578348.284161454
2028-08-31,4.00000000000007,4.00000000000007,1.0886933458065835,1.0886933458065835,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,426248.36222642,463579.2764777055,29121.331900440826,783756.4050873611,30833.868755384836,822511.2494039529,0.0,0.0,0.0,0.0,3445.0,89570.0,2667.0,69342.0,6112.0,158912.0,5240.2267562068355,141970.12429649688,1425.562125439616,38621.846259099584,6665.788881646451,180591.97055559643,1379659.8162215692,816723.8993354978,4993661.116191024,5522462.065653899,1157724.7593710888,9600.000000000004,249600.0,3912.360964549874,99676.98517771074,0.0,0.0,9612.00000000001,249912.0,19212.00000000009,1396575.248356706,13524.360964549856,829019.4545772396,6420623.524790365,7578348.284161454
2028-09-30,4.00000000000007,4.00000000000007,1.0922574445233657,1.0922574445233657,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,441152.0921273169,480086.7013047551,29050.640795618634,812807.0458829798,30776.148637074788,853287.3980410276,0.0,0.0,0.0,0.0,3445.0,93015.0,2667.0,72009.0,6112.0,165024.0,5223.127595609588,147193.25189210646,1420.9104344235022,40042.756693523086,6644.03803003309,187236.00858562952,1397306.6587176684,829159.1570813579,4978711.774928496,5511468.472456204,1157724.7593710888,9600.000000000002,259200.0,3918.7440937119745,103595.72927142271,0.0,0.0,9611.999999999978,259523.99999999997,19211.999999999793,1415787.2483567058,13530.74409371202,842550.1986709516,6420623.524790365,7578348.284161454
2028-10-31,4.00000000000007,4.00000000000007,1.0958332111719047,1.0958332111719047,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,455958.40974399546,496504.38873194193,28980.18035992788,841787.2262429076,30718.596034306014,884005.9940753336,0.0,0.0,0.0,0.0,3445.0,96460.0,2667.0,74676.0,6112.0,171136.0,5206.084230554544,152399.336122661,1416.273922142095,41459.03061566518,6622.358152696639,193858.36673832615,1414895.9185541016,841560.2314110609,4963811.214224323,5500504.358440519,1157724.7593710888,9599.999999999984,268800.0,3925.13763713245,107520.86690855515,0.0,0.0,9611.999999999984,269135.99999999994,19212.000000000022,1434999.2483567058,13537.137637132302,856087.336308084,6420623.524790365,7578348.284161454
2028-11-30,4.00000000000007,4.00000000000007,1.099420683949973,1.099420683949973,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,470667.79211208964,512832.7277698136,28909.94984068191,870697.1760835894,30661.210366483596,914667.2044418171,0.0,0.0,0.0,0.0,3445.0,99905.0,2667.0,77343.0,6112.0,177248.0,5189.096478977646,157588.43260163866,1411.6525390663114,42870.68315473149,6600.749018043958,200459.1157563701,1432427.7836263916,853927.2442983047,4948959.274904742,5489569.6169833345,1157724.7593710888,9600.000000000016,278400.0,3931.5416118024627,111452.40852035761,0.0,0.0,9611.999999999998,278747.99999999994,19211.99999999996,1454211.2483567058,13543.54161180254,869630.8779198865,6420623.524790365,7578348.284161454
2028-12-31,4.00000000000007,4.00000000000007,1.1030199011803923,1.1030199011803923,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,485280.7141912458,529072.105811635,28839.948487650094,899537.1245712396,30603.991054851194,945271.1954966683,0.0,0.0,0.0,0.0,3445.0,103350.0,2667.0,80010.0,6112.0,183360.0,5172.164159408926,162760.59676104758,1407.046235828686,44277.72939056017,6579.210395237612,207038.3261516077,1449902.4412169468,866260.3173357986,4934155.798315387,5478664.1417920375,1157724.7593710888,9599.99999999998,288000.0,3937.956034740864,115390.36455509848,0.0,0.0,9612.000000000005,288359.99999999994,19211.999999999985,1473423.2483567058,13549.95603474079,883180.8339546273,6420623.524790365,7578348.284161454
