date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2029-01-31,-16.4139652874378,-0.606122258521069,2998385.03606847,3038845.41615827,2874586.38035412,2913376.21426504,616159.750012952,423692.18044604,590719.472050215,406198.589147746,8213408.81456585,8405876.38413276,7874289.93628832,8058810.81919079,0,118907.774036271,311375.343603183,304784.406409769
2029-02-28,44.6796857848248,1.61371596243187,3255119.10159411,3301595.61733871,3116559.94195183,3161058.11319851,636668.997844028,437648.241694861,609568.201050336,419019.070013103,8468893.5036738,8667914.25982297,8108402.00387141,8298951.13490864,0,122824.495311759,321845.251460926,314823.746383102
2029-03-31,32.5466606814203,4.05169945191513,3456324.88462558,3507529.77805767,3298266.37544591,3347129.65766124,657280.950615188,451650.571358766,627223.345895055,430996.489823591,8664613.45214394,8870243.83140036,8268378.74314542,8464605.59921688,0,126754.201661082,332384.580917503,324896.369697684
2029-04-30,42.3904992364016,3.44470450334635,3715294.62901443,3772645.44540646,3535401.48730183,3589975.39914907,677980.94434362,465692.474947707,645153.366916308,443143.823829698,8922528.15069645,9134816.62009236,8490502.75800944,8692512.30109605,0,130695.014298301,342983.483694214,334997.460649406
2029-05-31,6.27190820795243,5.43544700366436,3760639.83836893,3819069.5266822,3562801.85167153,3618157.69819296,698819.293805195,479796.450305391,662056.134318037,454555.542419315,8950480.57975322,9169503.42325302,8479617.87181559,8687118.46371431,0,134653.247166982,353676.090666786,345143.203138409
2029-06-30,75.9595130891008,0.221055401141812,4192202.21836763,4261192.45913088,3970930.04306655,4036278.85151021,719663.445797014,493903.02116771,681678.280043683,467833.907563713,9394893.54794041,9620653.97256971,8899013.71586392,9112858.08834389,0,138612.20845524,364372.633084544,355290.81271247
2029-07-31,-8.5608265987274,0.158240092394246,4122395.5738877,4189708.35256802,3904293.44876286,3968044.93406047,740511.753944035,508011.450869822,701333.760391418,481134.268649784,9298891.29786408,9531391.6009383,8806918.14365843,9027117.63540006,0,142571.691420583,375071.994494797,365439.759449239
2029-08-31,23.6829284194102,2.21817475523036,4288570.36818239,4360038.01745956,4054257.41073649,4121820.30975281,761417.792693581,522145.6982681,719816.503792829,493617.426075913,9457393.28567776,9696665.38010324,8940673.35333458,9166872.4310515,0,146538.420034828,385810.51446031,375607.278233272
2029-09-30,-0.0304156921402399,-6.50258152868718,4288330.62379007,4359792.207533,4076809.37619415,4144746.12832437,782147.021828641,536200.972505272,743567.740431162,509752.942113851,9436405.0102518,9682351.05957517,8970955.78637066,9204770.58468797,0,150482.985099145,396429.034422514,385717.987406127
2029-10-31,14.2923182913359,3.39452394175406,4393967.66216825,4468182.52030149,4165631.72220518,4235989.94763331,802963.576098104,550295.400389744,761236.95064224,521698.872794149,9529981.3388662,9782649.51457456,9034748.46185254,9274286.53970063,0,154438.538501837,407106.714210196,395856.861887908
2029-11-30,20.0319885382663,2.67855493315643,4540081.54662859,4618170.3188147,4294682.11286137,4368550.04886178,823849.58100808,564420.909107695,779319.054714148,533912.961160315,9667520.27370744,9926948.94560782,9144973.71221173,9390379.80576556,0,158402.814635074,417831.486535459,406018.094472621
2029-12-31,-19.7920585324168,2.01542431150608,4364025.29146456,4437389.58010537,4121283.35821964,4190566.87553893,844788.192662085,578569.925536825,797798.199393632,546387.897967721,9455522.19324782,9721740.46037308,8929573.88091369,9180984.1823396,0,162373.688127757,428591.955253017,416196.237409068
2030-01-31,58.6558351548511,2.67906538897351,4734806.9435963,4818610.51278608,4461600.36285268,4540568.32060884,865796.719842126,592750.149051932,815838.745997592,558547.436378131,9838422.19954726,10111468.7703375,9270728.15814907,9528019.46776853,0,166353.319783322,439399.890573516,426396.829268611
2030-02-28,5.65973848593357,2.45951827161772,4780047.46223409,4865106.59539789,4495119.48969885,4575108.43756648,886869.734236078,606959.113760599,834005.406575061,570779.634150418,9866570.94101046,10146481.5614859,9278446.64385477,9541672.41627941,0,170341.01755742,450251.638032899,436618.096203179
2030-03-31,21.1761968767822,3.16141209406557,4939245.33697844,5028820.84935487,4632796.14448414,4716814.0581664,908025.660116849,621204.980432562,851688.363359459,582663.107810489,10018922.6006854,10305743.2803697,9397311.29548118,9666336.55103014,0,174339.071742412,461159.751426699,446865.90869015
2030-04-30,-4.82839808173031,-1.32235404896741,4898011.89216961,4986406.97775395,4599220.11986666,4682222.86977153,929146.03667937,635435.05274862,872465.653466842,596671.821916593,9952831.74815472,10246542.7320855,9345682.50006521,9621476.33161546,0,178332.693294965,472043.677225716,457102.359453655
2030-05-31,-49.0066742722211,3.44490147704086,4354815.06563296,4427180.25355328,4077634.72900644,4145393.93324077,950356.87013037,649705.344909185,889867.450210589,608352.143109374,9337713.97959853,9638365.50481971,8743376.29471888,9024891.6018201,0,182337.602410526,482989.127631711,467367.742498659
2030-06-30,26.4403187816123,-0.136061431569434,4539163.68507014,4617464.44712855,4250731.98105843,4324057.28424538,971564.055280664,663974.018029527,909828.040573188,621783.171713572,9519617.71238416,9827207.7496353,8914713.42850602,9202758.29736564,0,186342.057147936,493932.094399073,477631.960881591
2030-07-31,93.0442898013159,-14.26661203531,5075522.59484986,5171153.74369728,4814370.15902517,4905080.76875656,992361.473852851,678060.831189344,941301.191631228,643172.357265083,10089919.535947,10404220.1786105,9570759.78148912,9868888.61585527,0,190295.473503969,504596.116167476,487765.357685374
2030-08-31,38.4049877957572,5.15481497028927,5352537.40130808,5456797.55174337,5055909.90954832,5154392.15978499,1013290.94899245,692206.772480981,957136.282506789,653845.983325173,10373249.7645749,10694333.9410864,9798383.89660146,10101674.1957831,0,194265.483969741,515349.660481215,497941.28851124
2030-09-30,40.7570541510257,4.51827511026539,5652308.26840982,5765847.25471525,5319442.30471213,5426294.94938523,1034337.31658041,706404.904306866,973424.912068391,664804.528307022,10681256.8045943,11009189.2168679,10052234.7005391,10360855.0843005,0,198250.141532012,526182.553805559,508154.762774854
