roi_fixed,cpi_fixed,yrs_il_man,yrs_il_woman,yrs_al_man,yrs_al_woman,yrs_al_total, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_cc_norm, |,cum_mo_earn_total_cc_norm,cum_mo_earn_cc_norm, |,entrance_fee_cc,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_cc_norm, |,worth_norm_cc, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_lc_norm, |,cum_mo_earn_total_lc_norm,cum_mo_earn_lc_norm, |,entrance_fee_lc,cum_mo_exp_lc_norm,cum_mo_exp_al_lc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_lc_norm, |,worth_norm_lc,
  0.000,  0.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.914,  0.000, |,  1.684,  1.684, |,  0.481,  0.433,  0.115,  1.086, |,  2.116, |,  5.869, |*|,  6.300, |,  0.770,  0.914,  0.000, |,  1.684,  1.684, |,  0.900,  1.102,  0.077,  1.086, |,  3.165, |,  4.819,
  0.000,  0.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.958,  0.000, |,  1.765,  1.765, |,  0.481,  0.423,  0.230,  1.086, |,  2.221, |,  5.844, |*|,  6.300, |,  0.807,  0.958,  0.000, |,  1.765,  1.765, |,  0.900,  1.082,  0.155,  1.086, |,  3.223, |,  4.842,
  0.000,  0.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.871,  0.000, |,  1.604,  1.604, |,  0.481,  0.443,  0.000,  1.086, |,  2.011, |,  5.894, |*|,  6.300, |,  0.733,  0.871,  0.000, |,  1.604,  1.604, |,  0.900,  1.121,  0.000,  1.086, |,  3.108, |,  4.797,
  0.000,  0.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  1.219,  0.000, |,  2.246,  2.246, |,  0.481,  0.420,  0.728,  1.086, |,  2.715, |,  5.831, |*|,  6.300, |,  1.027,  1.219,  0.000, |,  2.246,  2.246, |,  0.900,  1.075,  0.507,  1.086, |,  3.568, |,  4.978,
  0.000,  0.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.568,  0.000, |,  2.888,  2.888, |,  0.481,  0.420,  1.376,  1.086, |,  3.363, |,  5.825, |*|,  6.300, |,  1.320,  1.568,  0.000, |,  2.888,  2.888, |,  0.900,  1.075,  0.968,  1.086, |,  4.029, |,  5.159,
  4.000,  0.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.871,  2.527, |,  4.132,  4.132, |,  0.481,  0.443,  0.000,  1.086, |,  2.011, |,  8.421, |*|,  6.300, |,  0.733,  0.871,  2.228, |,  3.832,  3.832, |,  0.900,  1.121,  0.000,  1.086, |,  3.108, |,  7.025,
  4.000,  0.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.914,  2.669, |,  4.354,  4.354, |,  0.481,  0.433,  0.115,  1.086, |,  2.116, |,  8.538, |*|,  6.300, |,  0.770,  0.914,  2.350, |,  4.035,  4.035, |,  0.900,  1.102,  0.077,  1.086, |,  3.165, |,  7.170,
  4.000,  0.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.958,  2.813, |,  4.577,  4.577, |,  0.481,  0.423,  0.230,  1.086, |,  2.221, |,  8.657, |*|,  6.300, |,  0.807,  0.958,  2.475, |,  4.240,  4.240, |,  0.900,  1.082,  0.155,  1.086, |,  3.223, |,  7.317,
  4.000,  0.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  1.045,  3.107, |,  5.033,  5.033, |,  0.481,  0.420,  0.404,  1.086, |,  2.391, |,  8.942, |*|,  6.300, |,  0.880,  1.045,  2.734, |,  4.659,  4.659, |,  0.900,  1.075,  0.277,  1.086, |,  3.338, |,  7.621,
  4.000,  0.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  1.219,  3.725, |,  5.971,  5.971, |,  0.481,  0.420,  0.728,  1.086, |,  2.715, |,  9.557, |*|,  6.300, |,  1.027,  1.219,  3.283, |,  5.529,  5.529, |,  0.900,  1.075,  0.507,  1.086, |,  3.568, |,  8.261,
  4.000,  0.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.568,  5.092, |,  7.980,  7.980, |,  0.481,  0.420,  1.376,  1.086, |,  3.363, |, 10.917, |*|,  6.300, |,  1.320,  1.568,  4.535, |,  7.423,  7.423, |,  0.900,  1.075,  0.968,  1.086, |,  4.029, |,  9.694,
  4.000,  8.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.605, -1.610, |,  3.007,  3.007, |,  0.481,  0.540,  0.000,  1.086, |,  2.104, |,  7.203, |*|,  6.300, |,  0.733,  0.605, -1.408, |,  2.797,  2.797, |,  0.900,  1.121,  0.000,  1.086, |,  3.102, |,  5.995,
  4.000,  8.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.625, -1.659, |,  3.114,  3.114, |,  0.481,  0.525,  0.241,  1.086, |,  2.331, |,  7.084, |*|,  6.300, |,  0.770,  0.625, -1.450, |,  2.897,  2.897, |,  0.900,  1.102,  0.164,  1.086, |,  3.246, |,  5.951,
  4.000,  8.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.644, -1.704, |,  3.216,  3.216, |,  0.481,  0.511,  0.492,  1.086, |,  2.567, |,  6.949, |*|,  6.300, |,  0.807,  0.644, -1.488, |,  2.993,  2.993, |,  0.900,  1.082,  0.334,  1.086, |,  3.396, |,  5.897,
  8.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832,  3.040, |,  7.902,  7.902, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |, 11.569, |*|,  6.300, |,  0.880,  0.832,  2.756, |,  7.324,  7.324, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |, 10.148,
  4.000,  8.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  0.744, -1.901, |,  3.740,  3.740, |,  0.481,  0.506,  1.751,  1.086, |,  3.821, |,  6.219, |*|,  6.300, |,  1.027,  0.744, -1.672, |,  3.503,  3.503, |,  0.900,  1.075,  1.234,  1.086, |,  4.289, |,  5.514,
  4.000,  8.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  0.846, -1.943, |,  4.179,  4.179, |,  0.481,  0.506,  3.906,  1.086, |,  5.977, |,  4.502, |*|,  6.300, |,  1.320,  0.846, -1.766, |,  3.995,  3.995, |,  0.900,  1.075,  2.780,  1.086, |,  5.836, |,  4.459,
  4.000,  2.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.789,  1.120, |,  3.784,  3.784, |,  0.481,  0.466,  0.000,  1.086, |,  2.032, |,  8.052, |*|,  6.300, |,  0.733,  0.789,  0.985, |,  3.511,  3.511, |,  0.900,  1.121,  0.000,  1.086, |,  3.106, |,  6.705,
  4.000,  2.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.825,  1.176, |,  3.968,  3.968, |,  0.481,  0.455,  0.139,  1.086, |,  2.161, |,  8.107, |*|,  6.300, |,  0.770,  0.825,  1.033, |,  3.679,  3.679, |,  0.900,  1.102,  0.094,  1.086, |,  3.180, |,  6.799,
  4.000,  2.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.860,  1.231, |,  4.151,  4.151, |,  0.481,  0.444,  0.280,  1.086, |,  2.291, |,  8.160, |*|,  6.300, |,  0.807,  0.860,  1.081, |,  3.847,  3.847, |,  0.900,  1.082,  0.189,  1.086, |,  3.255, |,  6.892,
  2.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832, -1.018, |,  2.748,  2.748, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |,  6.415, |*|,  6.300, |,  0.880,  0.832, -0.872, |,  2.600,  2.600, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |,  5.424,
  4.000,  2.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  1.064,  1.562, |,  5.243,  5.243, |,  0.481,  0.440,  0.912,  1.086, |,  2.919, |,  8.625, |*|,  6.300, |,  1.027,  1.064,  1.374, |,  4.863,  4.863, |,  0.900,  1.075,  0.637,  1.086, |,  3.697, |,  7.466,
  4.000,  2.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.317,  2.004, |,  6.682,  6.682, |,  0.481,  0.440,  1.796,  1.086, |,  3.802, |,  9.180, |*|,  6.300, |,  1.320,  1.317,  1.784, |,  6.238,  6.238, |,  0.900,  1.075,  1.267,  1.086, |,  4.327, |,  8.212,
