date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2029-02-28,38.16127743782787,-0.3555335845906282,1909374.0592116537,1939697.8750376098,1908069.898454425,1938373.0021886781,614254.3100964092,427291.54689920216,613834.7556553495,426999.69373157737,7094768.564664863,7281731.32786207,7089922.621200293,7276757.683124065,-844185,0.0,119917.92402873882,306880.6872259458,307373.62287046335
2029-03-31,103.94504306890555,-0.991064448925072,2343496.2567109377,2385260.1476950813,2343840.1734455023,2385610.1934349593,633462.5587915727,440651.5862640619,633555.5217626313,440716.2535124924,7547268.155409519,7740079.12793703,7548375.744897429,7741215.013147569,-844185,0.0,123667.37378313368,316478.3463106445,316984.2124809282
2029-04-30,13.260871067585732,-6.800410193857232,2422221.7444376834,2465996.844979873,2436836.8944981135,2480876.1243112106,652530.3248570424,453933.44645841944,656467.5484570976,456672.38043614995,7613533.519448223,7812130.397846845,7659471.896119299,7859267.064140247,-844185,0.0,127394.88281837097,325991.76121699397,326538.56364004844
2029-05-31,-39.47259447850069,0.5407134766405752,2110247.2830427736,2145884.6175903883,2122026.236246975,2157862.490845018,671608.7995876418,467221.27660602727,675357.5776031103,469829.2067748625,7255742.302586034,7460129.825567649,7296242.31873612,7501770.689564368,-844185,0.0,131124.06730074857,335511.5902823631,336097.2093052787
2029-06-30,-23.788970754802374,1.132332212633358,1947832.32143557,1978894.5773332417,1956867.7028712244,1988074.046803168,690709.652561212,480521.5806791304,693913.6373721731,482750.5691406729,7059192.9720876375,7269381.043969719,7091938.34776951,7303101.41600101,-844185,0.0,134856.75254802717,345044.82443010865,345664.82813110325
2029-07-31,10.97070026728868,-0.09127779717071904,2009334.849880886,2042228.3488003744,2018809.146856982,2051857.743259284,709808.6892997478,493820.87264336005,713155.537297252,496149.3076479564,7107614.204097319,7323602.020753708,7141127.606686802,7358133.836336098,-844185,0.0,138589.1537503817,354576.9704067695,355231.7188929784
2029-08-31,25.392155990271625,2.314458230117533,2144629.9012680645,2181634.777354969,2150637.527711936,2187746.063396238,728953.2738657153,507145.5470115376,730995.2480831934,508566.18420274556,7237276.0406040875,7459083.767458266,7257549.399143675,7479978.4630241245,-844185,0.0,142328.67843835248,364136.40529253014,364816.8685731851
2029-09-30,-45.51910194576162,-2.2569861476361974,1787465.6121995086,1813524.1324161496,1795885.9299683792,1822067.2055652149,748052.3887827531,520444.89699343225,751576.2824891963,522896.5869078912,6825038.317501226,7052645.809290547,6857189.420731325,7085869.11631263,-844185,0.0,146061.095923168,373668.58771248895,374383.80107026425
2029-10-31,34.20685465177282,2.3578175628935494,1956867.8813412692,1988575.7801824822,1962271.695383115,1994067.1543455957,767197.8959654835,533770.0999671096,769316.4829189631,535244.0852007691,6993862.267833656,7227290.063832029,7013175.544672636,7247247.942390829,-844185,0.0,149800.76896248024,383228.56496085407,383969.3310046294
2029-11-30,-77.94831164178146,0.3541120362867911,1129010.9447703315,1133088.2136812848,1131795.2198739813,1135882.5438144028,786350.451970215,547099.2287521745,788289.6855943938,548448.4404395338,6056040.277731582,6295291.500949622,6070975.192446176,6310816.437601035,-844185,0.0,153541.54376744907,392792.76698548946,393557.6849847255
2029-12-31,39.5800064481346,1.843984231574436,1299662.265394818,1310481.3218981212,1300885.0757064344,1311714.3115110886,805539.4800200498,560448.6686946499,806297.3861382854,560975.9767726476,6229660.900989041,6474751.712314441,6235522.1880252445,6480843.597390883,-844185,0.0,157288.01882988602,402378.83015528595,403160.6498647639
2030-01-31,6.617774225705841,-0.09684474626880935,1333017.6599723801,1345149.0031071748,1334379.5908398167,1346523.328447074,824726.5717631956,573797.0308060194,825569.1866879691,574383.2735178485,6248142.2936739195,6499071.834631097,6254525.958429018,6505711.87159914,-844185,0.0,161034.19140267718,411963.73235985334,412762.8394033422
2030-02-28,48.40495350698757,7.743687177408876,1541986.7497165855,1562510.430173282,1533998.059352451,1554415.4111858108,844063.1704061236,587228.6168657898,839690.266866334,584186.316019844,6465357.761104611,6722192.314644945,6431862.180642384,6687366.131488875,-844185,0.0,164803.7204944403,421638.27403477416,422424.8963713494
2030-03-31,181.73597537033342,-0.7583720070653555,2124848.485119272,2168526.187227868,2115181.532130246,2158660.5234620925,863384.438366726,600651.6848279845,859456.4892279528,597919.032763296,7104991.794049303,7367724.547588045,7072667.785000425,7334205.241465081,-844185,0.0,168570.859010997,431303.61254973855,432080.82581698755
2030-04-30,1.5835742208255343,1.6077866957581621,2134157.1820129296,2178179.1068367125,2121626.0120935747,2165389.4525729083,882737.8322548404,614092.60613245,877554.644313737,610486.8272992307,7096078.271343632,7364723.497466022,7054412.098238529,7321479.915253035,-844185,0.0,172343.00800753536,440988.2341299257,441749.5981249147
2030-05-31,98.64358564812252,2.932343850978092,2551849.701936191,2611684.741719199,2530763.3264433006,2590103.938942625,902149.571187643,627565.9386092534,894694.9532317425,622380.2527054078,7546319.1598029025,7820902.792381292,7483962.619262109,7756277.319788443,-844185,0.0,176124.25308970961,450707.8856680992,451441.68551954377
2030-06-30,23.48367142365122,-2.2251011205209115,2685673.372747076,2750377.778492229,2668480.412533472,2732770.598036912,921515.8389323824,641014.0296793977,915616.5418265824,636910.4298818663,7676774.954227831,7957276.763480815,7627630.301085655,7906336.41303037,-844185,0.0,179898.41425667872,460400.22350966337,461115.615422719
2030-07-31,2.9774989328360535,-0.01343456669051779,2704466.25832054,2769857.337627947,2687183.0772328456,2752156.267849013,940881.8355907665,654461.9701825404,934869.0295161454,650279.5609138448,7678457.730780421,7964877.596188648,7629387.7248127,7913977.193415002,-844185,0.0,183672.53316752927,470092.3985757554,470789.4370150111
2030-08-31,-13.370501265847723,0.7651288308023751,2613172.696572557,2675158.366801045,2594824.23152647,2656374.667640872,960263.2161774712,667918.455268261,953520.7011955164,663228.6471869963,7556596.107869146,7848940.868778356,7503537.257325325,7793829.311333845,-844185,0.0,187449.0500865124,479793.81099572266,480469.4051817486
2030-09-30,44.9833839774423,-1.5945990313102953,2850738.014381596,2921914.4598008976,2834515.8869553036,2905287.3027431495,979612.1586142131,681356.926904094,974037.6746787498,677479.6646529634,7805001.371581523,8103256.603291641,7760587.003732415,8057145.0137582,-844185,0.0,191220.51159185395,489475.743301973,490136.4153122401
2030-10-31,56.23806784604754,-0.4834662021575009,3146424.3283542846,3228899.9377184566,3129783.3541908017,3211822.762222503,998951.3335523144,694789.972299768,993668.0272981591,691115.3306203557,8118460.3437232915,8422621.704975838,8075523.004468156,8378075.701145959,-844185,0.0,194990.450241291,499151.81149383733,499799.52205847704
2030-11-30,5.839197044864575,2.4834294543375046,3184909.31639818,3268826.781219621,3161595.1163882143,3244898.2878766856,1018339.9831723032,708250.5062135252,1010885.5222482246,703065.9648911068,8142292.140411513,8452381.61737029,8082688.864888489,8390508.422245607,-844185,0.0,198768.10345013617,508857.5804089142,509482.402763389
2030-12-31,60.0541446034828,-0.4606372084138721,3510384.6604458317,3606697.4652352165,3486028.908810402,3581673.4760760777,1037719.307627602,721705.8621672094,1030519.4032955627,716698.5223930703,8489094.701929018,8805108.14738941,8430195.663171377,8744016.544073869,-844185,0.0,202544.30348204126,518557.748942434,519161.5586851681
2031-01-31,-53.64569457080144,0.0027383735358155192,2983535.2308413833,3060235.637685636,2962828.1050126106,3038996.1752652843,1057098.6873731832,735161.2488253337,1049761.9295207565,730058.8869271063,7878463.050519882,8200400.489067731,7823782.842946651,8143485.885540302,-844185,0.0,206320.5121310434,528257.950678893,528840.7366942903
2031-02-28,-70.57496513666601,1.4706684291756922,2219957.7242688606,2265456.082563493,2201869.6859871605,2246997.3272912884,1076507.5634312546,748633.0157062069,1067736.265759675,742533.2136698873,6993023.083385616,7320897.6311106635,6936044.4896699395,7261247.5417597275,-844185,0.0,210101.31783402758,537975.8655590754,538531.6978721793
2031-03-31,6.181009141579041,-4.689348803565519,2254995.8064269046,2302136.958575316,2245592.041736669,2292536.6062458633,1095819.5043984735,762050.9711520115,1091249.7270476846,758873.0725527082,7014142.994910316,7347911.528156778,6984892.67433774,7317269.328832717,-844185,0.0,213867.0215401919,547635.554786654,548183.9496118197
2031-04-30,-11.057794179265324,7.548235483022481,2186834.0637734504,2230731.734161442,2164548.616517568,2207998.937362998,1115278.2884806613,775550.5417031929,1103912.782571777,767647.111361718,6915873.559661169,7255601.306438637,6845395.722318431,7181661.39352849,-844185,0.0,217655.63024898773,557383.3770264562,557894.9114542052
2031-05-31,1.7459654318380258,1.377935624632265,2196816.8247747626,2241204.8773064325,2171951.252053516,2215836.8801974384,1134764.8383797007,789065.5164913641,1121920.5368921894,780134.1546404934,6907979.626193535,7253678.9480818715,6829788.824022481,7171575.206274177,-844185,0.0,221448.56210467117,567147.8839930076,567616.954386693
2031-06-30,-12.421351534742008,-0.38751841995020575,2120885.078040778,2161473.241925382,2097557.5445211953,2137699.2807500437,1154243.5048000526,802576.1190904694,1141548.0248201296,793748.6151799819,6800096.00365338,7151763.389362963,6725302.008870719,7073101.418510867,-844185,0.0,225240.2669203159,576907.6526298991,577335.8521701535
2031-07-31,46.29845727073081,-0.2932229994318969,2339947.148277788,2391864.1206831816,2314776.5424825465,2366135.04857922,1173716.211133408,816083.4158949184,1161090.649018611,807304.8783229722,7036868.809023635,7394501.604262126,6961173.8297780035,7314959.600473643,-844185,0.0,229031.04397589766,586663.8392143872,587052.3719190207
2031-08-31,167.45232989320752,0.18292003259425815,2941142.8107590727,3023614.180453034,2909062.129288,2990633.9378549205,1193192.626232639,829592.7699378247,1180177.810210862,820543.9399028727,7718864.630300675,8082464.486595489,7634670.677998476,7994304.548306465,-844185,0.0,232822.39838847803,596422.2546832921,596770.3715493467
2031-09-30,-40.27001885722243,2.0920419680648505,2616675.6150412583,2683862.8423922826,2583672.4061872805,2650012.2246795837,1212711.1003761801,843125.4529066295,1197415.6019601026,832491.4082232027,7324722.378619618,7694308.026089169,7232338.232465079,7597262.42620198,-844185,0.0,236620.2999850218,606205.9474545724,606505.1529216077
2031-10-31,-3.3366850549628735,0.10372916080712002,2595990.4254960837,2662133.9342218945,2563026.666416352,2628330.2881129533,1232231.6835689333,856659.3050978668,1216584.866096632,845781.4872641357,7281091.8810009165,7656664.259471983,7188636.933461254,7559440.312293751,-844185,0.0,240418.52971987735,615990.9081909438,616240.7753779895
2031-11-30,-27.4599863590274,-0.5339032965269941,2403784.3586581256,2460013.517879947,2374320.1978139514,2429860.133401599,1251741.378245186,870187.1210301756,1236398.2759527187,859520.8841831754,7036847.700782101,7418401.957997112,6950594.201484209,7327471.593253752,-844185,0.0,244215.06539912877,625769.3226141394,625972.0556310468
2031-12-31,-46.10992607568064,-5.537975244651672,2050435.5940618615,2087505.3610179694,2034940.9442874955,2071730.58390975,1271135.5090331873,883650.8632998302,1261529.8430053103,876973.3257613193,6601249.775929484,6988734.421662841,6551365.715368226,6935922.232612217,-844185,0.0,247993.6190221796,635478.2647555368,635657.2442776506
2032-01-31,13.454276091690742,-3.6940375399147296,2120241.590351532,2161408.8771198727,2110830.022412408,2151814.571176715,1290453.6992959045,897072.4405132805,1284725.4876060262,893090.4140033643,6665179.412464169,7058560.671246793,6635593.2609839225,7027228.334586585,-844185,0.0,251760.3391651551,645141.597947779,645312.1013481254
2032-02-29,-68.94784397383287,0.10298216383761716,1501312.9728521476,1505950.8725505485,1494520.578222366,1499137.4946577335,1309773.9610848026,910495.1690026473,1303848.1469605174,906375.8130733991,5907098.991573483,6306377.783655638,5880373.48650326,6277845.820390378,-844185,0.0,255527.38240981352,654806.1744919687,654967.7865928338
2032-03-31,24.24126993099962,2.2881492656678715,1609132.3681529094,1621058.108799994,1598835.0340505042,1610684.4582066075,1329139.8007019232,923943.2272734169,1320634.225357402,918030.6297201093,6019459.212215049,6424655.785643555,5980938.836980083,6383542.432617376,-844185,0.0,259301.53437174932,664498.1078002555,664641.6929016677
2032-04-30,107.07073883155478,-1.9053846281476994,1985559.0010721844,2022823.6926829375,1976018.0976147363,2013103.7268935025,1348466.856439558,937369.7436622862,1341987.274575755,932865.5439767642,6459676.491871013,6870773.604648285,6428636.794867798,6837758.525466788,-844185,0.0,263069.6406775613,674166.7534548332,674300.1029847249
2032-05-31,-43.04974397769223,0.4173717762096185,1689496.1641300635,1707919.2655124643,1680794.4047571803,1699122.617853632,1367802.2997088698,950800.921015811,1360757.4263706272,945903.8155935826,6082474.664137917,6499476.042830976,6051146.84461236,6466000.455389405,-844185,0.0,266839.0550673022,683840.4337603609,683961.8659485088
2032-06-30,35.38510919065527,-2.2456945917632476,1845009.7191991557,1874094.4953850077,1838984.4234397553,1867974.21672292,1387092.0342746733,964206.7006155243,1382562.1720928953,961057.8659595606,6253669.743874483,6676555.077533632,6233246.973524626,6654751.279657961,-844185,0.0,270601.34166353964,693486.6753226887,693605.3589519847
2032-07-31,9.446374774452181,-1.1182892888930152,1892227.4558018094,1924505.1873427795,1887816.312581216,1920018.7985716437,1406359.1818795572,977599.9227716848,1403080.6903050658,975320.9508338425,6292093.438904462,6720852.698012335,6277425.368619749,6705185.108090973,-844185,0.0,274360.10405581637,703119.3631636888,703239.8187158684
2032-08-31,-39.008226130659274,-0.39825151068226816,1638245.1499576676,1653215.8808417618,1634969.688532954,1649910.4873574222,1425618.3221188416,990988.6919013292,1422767.9808127277,989007.3368930547,5962083.867660925,6396713.497878437,5950163.444322614,6383924.088242287,-844185,0.0,278117.6167212981,712747.2469388103,712871.0751800311
2032-09-30,-22.451194893872074,-0.4057509183237329,1513246.1368957101,1519104.5714702278,1510732.3649634281,1516581.067632447,1444869.307452065,1004372.9255022887,1442469.1216380508,1002704.4828027745,5787944.842673132,6228441.224622908,5778330.033200725,6218094.6720360005,-844185,0.0,281873.8565060308,722370.2384558071,722499.068996258
2032-10-31,11.37751173489676,-0.9155923756891782,1565453.6418571211,1575285.3722510068,1564051.542721001,1573874.4673219055,1464101.855766299,1017746.9039110208,1462790.5323950578,1016835.3585182938,5833952.581004966,6280307.532860245,5828727.399207639,6274682.573084403,-844185,0.0,285627.2182058321,731982.1700611102,732119.6857051888
2032-11-30,-11.539476282871874,-0.28743949303150496,1506146.8959550112,1511441.0749471216,1505158.925880936,1510449.6321105785,1483328.6384655258,1031117.6745836076,1482355.6362246696,1030441.3040329829,5740535.298117136,6192746.261999054,5736769.744372713,6188684.0765644,-844185,0.0,289379.67966535914,741590.6435472774,741737.9949182484
2032-12-31,-51.92164679715481,0.10242398464432867,1166288.4274529805,1144810.2380781297,1165423.9643398402,1143961.6947855197,1502557.4713297999,1044489.5859604722,1501443.76268041,1043715.4012066255,5293630.088981943,5751697.974351271,5289706.404378017,5747434.765851802,-844185,0.0,293132.4612596746,751200.346629002,751357.1247007977
2033-01-31,24.87821642919963,0.5067585834363175,1265207.9268806668,1252289.430034945,1263737.704372808,1250834.219340107,1521796.4300932381,1057867.1312062002,1520028.0414225964,1056637.8470438272,5401388.192760137,5865317.491647175,5395111.56239294,5858501.756771709,-844185,0.0,296886.8239801864,760816.1228672243,760980.3072260137
