date,apy_roi,apy_cpi,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm
2028-06-30,55.76401445604391,3.8850070128586545,2353252.694908089,2548883.6519642016,281266.48420672794,2729711.1093357876,301069.4478987317,2930495.989957969,3445.0,82680.0,2667.0,64008.0,5356.25375588524,132957.34987448086,1457.1263504178603,36169.99246366245,1349307.6277732293,791162.7850505137,7429449.687710069,7961981.090242761,-602431
2028-07-31,84.59724194610318,2.140641642280139,2737801.9712317446,2960949.2904663575,401612.57007987256,3131323.67941566,429473.924776373,3359969.914734342,3445.0,86125.0,2667.0,66675.0,5346.808075620224,138304.15795010107,1454.556728021488,37624.54919168394,1368042.6889330274,803977.817219784,7853235.367178769,8390993.06688235,-602431
2028-08-31,4.277071886965356,1.8405180673678467,2761059.007354106,2985744.697536013,40317.88124141512,3171641.560657075,42195.13864365361,3402165.0533779957,3445.0,89570.0,2667.0,69342.0,5338.688054997847,143642.84600509892,1452.3477408162416,39076.89693250018,1386866.82609815,816849.3214886293,7853767.263067636,8396881.22605474,-602431
2028-09-30,73.06626148205608,3.325424106391517,3119858.6194728916,3369264.609677506,379200.8508674204,3550842.4115244956,404532.83389373374,3806697.8872717293,3445.0,93015.0,2667.0,72009.0,5324.15404198548,148967.0000470844,1448.3938778547704,40525.29081035495,1405089.8279039892,829297.0072679021,8241145.11448447,8788966.952402225,-602431
2028-10-31,-20.009200536088144,2.4160730345663683,2962051.8585441248,3200884.2959834486,-138735.02042708406,3412107.3910974115,-148812.88407328425,3657885.003198445,3445.0,96460.0,2667.0,74676.0,5313.572398678482,154280.5724457629,1445.5152257228754,41970.806036077825,1423644.2920084295,841966.7743485051,8028858.474148301,8581787.847206349,-602431
2028-11-30,-12.511458702809787,3.1787275113565494,2865635.894013905,3097737.640411756,-75848.37061037784,3336259.0204870338,-81957.06731802551,3575927.9358804193,3445.0,99905.0,2667.0,77343.0,5299.734194957982,159580.30664072087,1441.7506521603484,43412.556688238175,1441851.8296580433,854388.7040182299,7884629.649063616,8442328.29226476,-602431
2028-12-31,28.47408147750814,5.680314958839583,3018068.3826117227,3260816.9555597175,178418.1778118788,3514677.1982989125,190131.15341525382,3766059.089295673,3445.0,103350.0,2667.0,80010.0,5275.390101550577,164855.69674227145,1435.1280346374226,44847.6847228756,1458957.002196937,866035.5596065465,8023352.980264847,8584722.004371399,-602431
2029-01-31,50.63069011106778,1.8757163935196663,3291600.48942637,3553438.3788580545,291014.4592704643,3805691.6575693768,310479.40966489195,4076538.4989605653,3445.0,106795.0,2667.0,82677.0,5267.226859268871,170122.92360154033,1432.9072893225743,46280.592012198176,1477693.929262781,878801.7480173302,8317775.934613133,8884516.15337544,-602431
2029-02-28,18.925986328003596,1.150816812669131,3409364.010360863,3679190.03936938,133706.4386395784,3939398.096208955,141944.13152702583,4218482.630487591,3445.0,110240.0,2667.0,85344.0,5262.206753495243,175385.13035503557,1431.5416093645254,47712.1336215627,1496749.9675465748,891784.609828424,8431617.24330459,9004061.940148858,-602431
2029-03-31,10.064223363894676,4.157737916952131,3465228.93772925,3738717.8000780935,80202.10110374576,4019600.197312701,84779.35708202783,4303261.987569619,3445.0,113685.0,2667.0,88011.0,5244.3734814470245,180629.5038364826,1426.690209150882,49138.82383071358,1514351.1854858303,903754.4878454888,8462247.956141708,9039014.239886574,-602431
